"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Люксембург;27.12.2020;45209;37574;458;0;0;0
Сальвадор;12.03.2021;61947;58666;1940;133;226;5
Доминика;20.07.2020;18;18;0;0;0;0
Монако;23.01.2021;1345;1100;9;34;22;0
Камбоджа;29.09.2020;277;275;0;0;0;0
Алжир;26.07.2020;27357;18088;1155;593;12;9
Замбия;10.04.2021;89918;86813;1226;135;1254;0
Уганда;25.10.2020;11443;7351;101;146;70;2
Бенин;11.05.2021;7995;7652;101;111;0;1
Мадагаскар;17.04.2021;31617;25471;538;578;278;7
Вануату;12.01.2021;1;1;0;0;0;0
Либерия;29.12.2020;1800;1406;83;0;0;0
Словакия;19.10.2020;30695;7536;92;860;177;4
Молдавия;11.05.2021;252949;243877;5970;151;146;12
Гватемала;18.05.2021;242784;223244;7913;1256;1195;20
Тунис;20.03.2021;245405;212056;8526;629;495;20
Экваториальная Гвинея;12.06.2021;8650;8413;120;10;110;2
Черногория;24.04.2021;96499;92377;1463;151;235;6
Грузия;21.01.2021;251071;238101;2998;1137;1179;11
Гондурас;04.01.2021;123398;57348;3181;29;0;1
Сент-Люсия;30.07.2020;25;22;0;1;0;0
Румыния;21.06.2021;1080282;1045207;32391;26;85;65
Парагвай;24.02.2021;154904;129631;3119;1114;900;18
Марокко;22.09.2020;105346;85883;1889;2227;1725;34
Колумбия;10.08.2020;397623;221484;13154;10142;8796;312
Ирак;24.03.2021;809092;727471;14095;6051;4185;29
Киргизия;21.10.2020;53459;46444;1118;549;305;5
Латвия;25.02.2021;84258;73285;1593;813;823;6
Израиль;19.04.2021;837218;828686;6341;171;198;6
Гренада;21.02.2021;148;146;1;0;0;0
Джибути;18.01.2021;5905;5822;61;0;0;0
Судан;24.02.2021;30236;22823;1876;31;0;0
Камерун;09.11.2020;22421;21510;433;0;0;0
Косово и Метохия;05.07.2020;3356;1874;66;178;50;8
Сейшельские острова;13.12.2020;185;182;0;0;0;0
Кабо-Верде;10.04.2021;18629;17077;177;0;0;0
Мавритания;19.12.2020;12278;8545;273;232;119;9
Эквадор;22.01.2021;237158;199332;14562;969;0;36
Монголия;16.02.2021;2444;1777;2;28;17;0
Папский Престол;03.10.2020;12;12;0;0;0;0
Исландия;11.08.2020;1968;1844;10;6;6;0
Турция;30.04.2021;4820591;4323897;40131;31891;68183;394
Сан-Томе и Принсипи;19.03.2021;2123;1935;34;9;15;0
США;02.07.2020;2751143;781970;128802;56373;51976;739
Вьетнам;25.05.2021;5931;2794;44;527;0;0
Норвегия;09.10.2020;15388;11863;275;167;0;0
Уругвай;08.10.2020;2226;1904;49;20;14;0
Азербайджан;05.04.2021;271834;242293;3711;1099;647;34
Чили;18.03.2021;911469;854827;21988;7257;3673;172
Нигерия;15.02.2021;146928;123009;1761;744;2171;9
