"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
ЦАР;02.10.2020;4829;1914;62;0;0;0
Филиппины;21.10.2020;362243;311506;6747;1468;864;57
Польша;30.11.2020;990811;577514;17150;5736;18085;121
Эсватини;29.05.2021;18589;17861;672;2;6;0
Аргентина;13.11.2020;1296378;1110477;35045;11859;10297;263
Германия;20.03.2021;2659792;2419292;74707;13685;5708;98
Япония;09.01.2021;283036;217213;4022;7854;3632;59
Бангладеш;30.06.2020;145483;59624;1847;3682;1844;64
Мозамбик;10.02.2021;46736;28395;486;951;581;6
Никарагуа;03.11.2020;5514;4225;156;0;0;0
Украина;11.05.2021;2180429;1828877;48544;2334;8661;125
Сальвадор;30.12.2020;45960;45960;1327;276;5298;14
Португалия;26.07.2020;50164;35217;1717;209;207;1
Узбекистан;04.05.2021;92320;88258;655;314;293;2
Иордания;19.03.2021;521461;420452;5701;7354;3481;74
Сирия;29.11.2020;7797;3500;413;82;56;4
Ливан;18.08.2020;9758;2852;107;421;43;2
Зимбабве;02.09.2020;6638;5250;206;79;9;3
Чехия;14.06.2021;1665138;1630452;30229;41;1073;4
Малави;20.02.2021;30528;16620;1004;251;369;7
ОАЭ;17.04.2021;495224;478063;1550;1958;1545;3
Бельгия;03.03.2021;777608;0;22169;3264;0;28
Ямайка;21.12.2020;12289;9113;286;65;147;0
Micronesia;23.05.2021;1;1;0;0;0;0
Сьерра-Леоне;13.05.2021;4096;3098;79;7;5;0
Сент-Китс и Невис;01.04.2021;44;44;0;0;1;0
Эфиопия;17.04.2021;240236;178705;3328;1709;1076;28
Албания;17.04.2021;129456;101142;2340;149;542;3
Фиджи;08.04.2021;67;64;2;0;0;0
Танзания;23.06.2021;509;183;21;0;0;0
Беларусь;14.02.2021;268687;258202;1849;1658;2222;9
Куба;15.11.2020;7590;7060;131;22;45;0
Швейцария;29.11.2020;318290;222100;4946;0;0;89
Литва;18.11.2020;38783;14076;350;1941;766;21
Саудовская Аравия;09.09.2020;323012;298966;4165;775;720;28
Непал;22.10.2020;148509;102820;812;3637;3215;21
Лихтенштейн;26.11.2020;1262;1010;15;30;25;0
Ливия;14.10.2020;45821;25301;669;836;294;13
Суринам;19.07.2020;1029;627;21;28;17;1
Гаити;31.07.2020;7378;4606;159;7;139;1
Сан-Марино;02.09.2020;735;660;42;0;0;0
Пакистан;26.02.2021;578797;544406;12837;1315;2013;33
Катар;17.01.2021;147277;143858;246;188;246;0
Бурунди;30.06.2020;170;115;1;0;0;0
Лесото;23.05.2021;10822;6431;326;7;0;0
Ботсвана;22.10.2020;5923;927;21;314;12;0
Summer Olympics 2020;15.06.2021;0;0;0;0;0;0
Йемен;20.10.2020;2057;1338;597;1;0;0
Сенегал;16.12.2020;17336;16349;352;120;106;2
Мьянма;09.04.2021;142558;131845;3206;9;11;0
Афганистан;11.10.2020;39885;33114;1481;96;50;4
Самоа;23.09.2020;0;0;0;0;0;0
Антигуа и Барбуда;27.01.2021;215;174;6;14;4;0
Восточный Тимор;26.12.2020;41;32;0;0;0;0
ЦАР;27.11.2020;4913;1924;63;0;0;0
Франция;23.06.2021;5824352;403326;111038;2330;404;33
Филиппины;16.12.2020;452988;419282;8833;1149;415;21
Маврикий;30.05.2021;1367;1191;18;4;8;1
Гвинея;29.12.2020;13688;13082;80;0;0;0
Таиланд;27.06.2021;244447;26873;1912;3995;0;42
Египет;08.08.2020;95314;51672;4992;167;1119;21
Кипр;14.05.2021;71647;39061;343;213;0;1
Аргентина;18.09.2020;613658;467286;12656;11945;10939;196
Бангладеш;31.12.2020;513510;457459;7559;1014;1389;28
Никарагуа;23.08.2020;4311;2913;133;0;0;0
Мозамбик;25.07.2020;1616;543;11;26;11;0
Сальвадор;29.06.2020;6173;3648;164;239;91;12
Ангола;15.07.2020;576;124;27;35;6;1
Доминика;02.04.2021;165;159;0;1;2;0
Греция;03.02.2021;159866;93764;5878;1150;0;27
Камбоджа;12.06.2021;37959;31222;320;638;605;9
Сомали;28.02.2021;7257;3808;239;266;21;8
Иран;22.11.2020;854361;603445;44802;13053;7309;475
Гвинея-Бисау;04.03.2021;3301;2655;49;19;31;1
Алжир;08.04.2021;118116;82289;3119;112;97;3
Замбия;28.07.2020;5002;3195;142;450;380;2
Канада;26.11.2020;357926;285672;11902;5550;3789;82
Бенин;28.08.2020;2145;1738;40;0;0;0
Мадагаскар;04.08.2020;11895;9286;123;235;461;5
Сингапур;19.11.2020;58139;58052;28;4;6;0
Боливия;31.12.2020;160124;132097;9165;1752;518;16
Молдавия;28.08.2020;35904;24156;981;358;0;4
Гватемала;04.09.2020;77040;65029;2825;682;630;21
Великобритания;26.02.2021;4175315;11579;122648;8588;75;345
Андорра;08.12.2020;7127;6367;78;43;74;0
Босния и Герцеговина;31.12.2020;110985;77225;4050;0;0;0
Тунис;07.07.2020;1205;1049;50;6;0;0
Черногория;11.08.2020;3748;2558;71;52;37;3
Экваториальная Гвинея;29.09.2020;5030;4769;83;2;29;0
Сент-Винсент и Гренадины;31.10.2020;74;70;0;0;0;0
Доминиканская Республика;24.02.2021;236883;187422;3066;673;719;9
Белиз;15.02.2021;12175;11668;313;30;42;0
Испания;09.06.2021;3715454;150376;80332;4427;0;23
Барбадос;10.06.2021;4033;3965;47;1;2;0
Кения;04.10.2020;39427;25659;731;243;233;3
Коморские острова;09.06.2021;3890;3736;146;0;0;0
Армения;22.08.2020;42616;35907;850;139;214;8
Австрия;31.08.2020;27438;23226;733;272;156;0
Северная Македония;30.12.2020;82794;60706;2488;493;450;15
Китай;03.11.2020;92045;86733;4746;30;25;0
Таджикистан;01.02.2021;13714;13218;91;0;0;0
Латвия;28.08.2020;1375;1163;34;9;0;0
Япония;25.04.2021;568116;501453;9977;4599;3367;51
Судно "MS Zaandam";20.07.2020;9;0;2;0;0;0
Папуа — Новая Гвинея;27.12.2020;780;661;9;0;0;0
Мексика;10.03.2021;2144486;1685996;192491;6602;4660;702
Казахстан;18.05.2021;418201;376649;7149;3856;6125;0
Польша;04.06.2021;2874411;2643313;74101;319;1186;26
Мали;13.04.2021;12179;7194;417;177;28;3
Бразилия;18.12.2020;7162978;6322955;185650;52544;21408;823
Словения;05.01.2021;128370;104988;2868;2512;1521;30
Мавритания;29.06.2020;4237;1497;128;88;78;2
Габон;09.08.2020;7923;5704;51;0;0;0
Буркина-Фасо;02.07.2020;967;846;53;5;8;0
Тринидад и Тобаго;21.02.2021;7680;7403;139;4;11;0
ЮАР;28.01.2021;1437798;1272197;43105;7150;8721;555
Дания;20.01.2021;192187;175047;1873;888;1918;35
Южная Корея;28.11.2020;33824;27542;523;449;193;1
Республика Конго;22.02.2021;8625;7019;127;0;0;0
Гана;30.06.2020;17741;13268;112;390;274;0
Южный Судан;11.12.2020;3181;3003;62;0;0;0
Кирибати;09.10.2020;0;0;0;0;0;0
ДР Конго;13.09.2020;10390;9756;264;5;37;2
Эстония;12.07.2020;2014;1895;69;0;0;0
Мальта;25.03.2021;28612;26148;378;102;291;1
Перу;18.09.2020;750098;594513;79474;5698;0;253
Венгрия;14.11.2020;136723;31126;2990;4836;1324;107
Намибия;27.10.2020;12729;10878;133;54;65;0
Венесуэла;10.06.2021;247847;227699;2781;1083;1151;17
Швеция;02.06.2021;1068473;0;14451;0;0;0
Сан-Томе и Принсипи;25.01.2021;1189;997;17;1;0;0
Marshall Islands;25.08.2020;0;0;0;0;0;0
Чили;26.01.2021;706500;662460;18023;3322;4136;24
Нигерия;01.05.2021;165110;155101;2063;0;0;0
Азербайджан;13.02.2021;231995;226514;3178;155;169;5
Чад;16.07.2020;886;799;75;1;0;0
Малайзия;11.09.2020;9810;9180;128;182;14;0
Вьетнам;19.11.2020;1304;1142;35;4;18;0
Кот-д’Ивуар;05.10.2020;19885;19490;120;3;41;0
Кувейт;24.02.2021;187005;175048;1062;1001;960;5
Кабо-Верде;08.02.2021;14451;13851;136;28;128;1
Бруней;14.07.2020;141;138;3;0;0;0
Монголия;04.05.2021;41524;25641;130;1128;1308;4
Эквадор;22.03.2021;312851;271847;16478;253;0;27
Оман;24.08.2020;84509;78912;637;740;526;28
Гренада;29.04.2021;160;158;1;1;3;0
Джибути;26.03.2021;7169;6235;66;153;28;2
Израиль;27.02.2021;773335;727576;5732;2555;1849;35
Гамбия;09.04.2021;5564;5111;166;0;0;0
Ирак;24.01.2021;613763;581542;12993;893;1704;5
Финляндия;10.08.2020;7601;6980;333;17;0;2
Судан;26.04.2021;33673;26722;2340;0;311;40
Камерун;07.05.2021;74946;35261;1152;0;0;0
Коста-Рика;07.08.2020;22081;7266;218;1011;228;18
Руанда;27.08.2020;3672;1863;15;47;53;0
Гондурас;12.03.2021;177168;68652;4325;741;152;14
Парагвай;26.04.2021;269353;221631;6002;2271;1984;102
Россия;30.11.2020;2275936;1763493;39491;26046;17214;364
Багамские острова;11.10.2020;5078;2900;107;55;85;1
Румыния;28.11.2020;465982;335764;11045;8134;9107;161
Эритрея;19.12.2020;754;580;0;13;8;0
Алжир;04.05.2021;122999;85693;3289;282;159;9
Сингапур;28.10.2020;57987;57890;28;7;7;0
Монако;12.04.2021;2377;2247;31;2;5;0
Бенин;19.09.2020;2280;1950;40;0;0;0
Сомали;02.07.2020;2944;951;90;20;19;0
Канада;10.09.2020;137169;120848;9231;893;1059;8
Мадагаскар;26.01.2021;18743;17930;279;0;0;0
Гвинея-Бисау;26.03.2021;3615;2921;61;8;10;0
Иран;31.10.2020;612772;481930;34864;7820;4630;386
Уганда;25.06.2021;76562;50702;830;1025;352;49
Замбия;17.01.2021;37605;26159;546;1531;1053;9
Андорра;18.12.2020;7519;6919;80;53;44;1
Босния и Герцеговина;22.01.2021;119420;90691;4555;214;809;19
Гватемала;14.09.2020;82172;71352;2972;263;425;15
Сент-Винсент и Гренадины;22.11.2020;84;78;0;0;0;0
Экваториальная Гвинея;21.10.2020;5074;4954;83;0;0;0
Боливия;22.01.2021;198257;148750;9871;1864;1006;53
Черногория;03.01.2021;49195;39347;689;339;333;5
Грузия;14.04.2021;291214;278683;3901;1085;432;7
Молдавия;19.09.2020;46336;34236;1201;688;502;15
Великобритания;04.07.2020;286412;1375;40698;625;0;32
Словакия;06.06.2021;390436;255300;12404;96;0;9
Афганистан;26.10.2020;40833;34150;1514;65;21;3
Франция;17.06.2021;5811592;401364;110809;2049;568;56
ЦАР;23.12.2020;4948;1924;63;12;0;0
Таиланд;21.06.2021;221306;26873;1658;3175;0;29
Маврикий;08.05.2021;1240;1121;17;14;0;0
Филиппины;10.12.2020;445540;409058;8701;1376;116;24
Сенегал;10.12.2020;16766;15950;343;101;46;2
Ирландия;16.07.2020;25698;23364;1749;15;0;1
Гвинея;08.08.2020;7875;6828;50;98;28;0
Восточный Тимор;30.11.2020;30;30;0;0;0;0
Самоа;19.10.2020;0;0;0;0;0;0
Антигуа и Барбуда;01.01.2021;159;148;5;0;0;0
Бутан;11.06.2021;1789;1440;1;20;0;0
Бангладеш;22.01.2021;530890;475561;7981;619;487;15
Египет;29.12.2020;135233;111040;7520;1333;604;54
Доминика;07.03.2021;144;130;0;0;0;0
Мозамбик;20.08.2020;3115;1380;20;70;89;1
Никарагуа;18.09.2020;4961;2913;147;0;0;0
Сальвадор;05.07.2020;7777;4573;217;270;139;7
Кипр;24.05.2021;72987;39061;355;75;0;1
Ангола;07.02.2021;20086;18540;475;24;65;0
Люксембург;17.05.2021;69190;66610;808;268;427;2
Греция;11.07.2020;3772;1374;193;40;0;0
Аргентина;23.08.2020;342154;251400;6985;5352;5619;137
Гайана;09.03.2021;8847;8200;204;33;29;1
Пакистан;04.02.2021;551842;507502;11886;1302;1684;53
Сан-Марино;08.09.2020;735;660;42;0;0;0
Непал;30.09.2020;77817;56428;498;1559;1057;7
Саудовская Аравия;30.08.2020;314821;289667;3870;910;1226;30
Ливия;08.10.2020;40292;23130;616;779;299;8
Гаити;06.08.2020;7532;4832;171;21;0;5
Лаос;06.06.2021;1963;1714;3;6;21;0
Лихтенштейн;22.12.2020;1891;1542;30;42;35;1
Йемен;24.09.2020;2029;1250;586;0;5;0
Ботсвана;30.09.2020;3172;710;16;0;0;0
Бурунди;06.07.2020;191;118;1;0;0;0
Катар;11.01.2021;146068;142827;246;203;132;0
Чехия;24.06.2021;1666521;1634010;30291;196;460;2
Зимбабве;08.09.2020;7388;5477;218;90;22;8
Ливан;27.07.2020;3882;1709;51;132;17;0
Португалия;19.01.2021;566958;421871;9246;10455;10282;218
ОАЭ;23.04.2021;506845;488664;1567;1973;1744;2
Бельгия;29.03.2021;872936;0;22921;2179;0;24
Сирия;21.12.2020;10318;4835;621;123;49;11
Иордания;13.03.2021;469000;390127;5285;4144;4594;61
Беларусь;08.02.2021;259499;247703;1792;808;526;9
Танзания;17.06.2021;509;183;21;0;0;0
Фиджи;04.05.2021;121;75;2;0;7;0
Литва;27.10.2020;11371;4930;129;423;146;5
Ямайка;01.09.2020;2459;890;21;0;0;0
Швейцария;21.12.2020;413991;311500;7010;10002;0;98
Куба;09.11.2020;7349;6721;130;52;41;0
Micronesia;13.05.2021;1;1;0;0;0;0
Албания;23.04.2021;130270;104278;2367;156;696;3
Сент-Китс и Невис;06.03.2021;41;41;0;0;0;0
Сьерра-Леоне;23.05.2021;4121;3113;79;0;0;0
Эфиопия;23.04.2021;249292;188080;3511;1303;2973;15
Финляндия;04.08.2020;7483;6950;331;17;0;2
Судан;16.04.2021;33022;25539;2208;90;0;0
Камерун;29.05.2021;78929;35261;1275;947;0;5
Израиль;05.02.2021;680856;590822;5020;5238;1334;19
Джибути;04.03.2021;6110;5926;63;8;6;0
Гренада;03.04.2021;155;152;1;0;0;0
Ирак;29.12.2020;593541;534801;12800;1013;1487;9
Парагвай;16.04.2021;246806;200259;5177;2278;0;67
Руанда;18.12.2020;7105;6089;57;73;0;0
Эритрея;09.12.2020;649;517;0;0;0;0
Румыния;20.12.2020;591294;498777;14394;3350;5398;98
Багамские острова;01.10.2020;4123;2206;96;0;0;0
Коста-Рика;01.08.2020;18187;4531;154;367;127;4
Нидерланды;25.03.2021;1246682;15596;16536;8018;66;26
Гондурас;18.03.2021;180796;69008;4402;525;89;12
Россия;14.09.2020;1064438;876152;18573;5414;2468;56
Азербайджан;19.02.2021;232829;227472;3193;193;201;3
Нигерия;09.04.2021;163652;154073;2059;71;68;1
Чили;04.01.2021;620641;586900;16767;2450;2443;0
Кот-д’Ивуар;15.10.2020;20257;19898;120;40;26;0
Вьетнам;28.10.2020;1173;1062;35;1;0;0
Малайзия;05.09.2020;9391;9112;128;6;21;0
Сан-Томе и Принсипи;03.01.2021;1024;981;17;0;3;0
Marshall Islands;16.09.2020;0;0;0;0;0;0
Эквадор;16.03.2021;302854;263164;16259;356;0;19
Бруней;08.02.2021;182;175;3;1;2;0
Монголия;08.04.2021;13494;8522;19;1268;1610;2
Оман;15.09.2020;90660;84113;797;438;185;7
Сейшельские острова;12.06.2021;13200;11634;42;227;0;0
Кабо-Верде;14.02.2021;14741;14198;139;41;34;0
Гана;06.07.2020;21077;16070;129;992;1200;7
Южная Корея;20.12.2020;50591;35155;698;926;433;24
Республика Конго;31.01.2021;7887;5846;117;0;0;0
ДР Конго;03.09.2020;10125;9367;259;11;20;0
Кирибати;03.10.2020;0;0;0;0;0;0
Мавритания;23.02.2021;17130;16472;437;20;34;2
Южный Судан;17.12.2020;3222;3043;62;0;0;0
Габон;30.07.2020;7352;4943;49;0;0;0
Словения;15.01.2021;147016;120894;3121;1544;1745;28
Дания;10.01.2021;182161;154200;1571;1246;2644;28
ЮАР;02.01.2021;1088889;897704;29175;15002;10003;288
Тринидад и Тобаго;11.02.2021;7632;7318;136;1;4;0
Буркина-Фасо;12.07.2020;1036;869;53;3;0;0
Перу;23.08.2020;585236;399357;69826;9169;18627;514
Намибия;18.11.2020;13610;13152;140;44;12;0
Турция;27.06.2021;5409027;5275231;49576;4883;5937;52
Венгрия;08.11.2020;109616;25070;2438;4673;223;81
Эстония;02.07.2020;1990;1842;69;1;6;0
Кения;10.10.2020;41158;31876;760;538;0;5
Белиз;09.02.2021;12079;11532;310;9;23;3
Австрия;10.09.2020;31247;26043;748;664;279;1
Армения;17.09.2020;46671;42231;925;295;162;2
Доминиканская Республика;29.01.2021;210412;154145;2626;1802;2442;23
Латвия;17.12.2020;28535;19072;394;1040;919;12
Папуа — Новая Гвинея;01.12.2020;669;597;7;13;0;0
Бразилия;08.12.2020;6674999;5965492;178159;51088;67966;842
Мали;19.04.2021;13145;7493;441;75;61;8
Казахстан;28.05.2021;438619;402182;7149;1688;2658;0
Мексика;20.03.2021;2193639;1733089;197827;5729;3820;608
Таджикистан;23.02.2021;13714;13218;91;0;0;0
Китай;13.11.2020;92404;87051;4749;32;31;0
Северная Македония;21.01.2021;89817;75387;2754;354;587;15
Швейцария;13.10.2020;65881;49800;1944;1445;300;8
Куба;24.08.2020;3717;3079;91;35;35;0
Литва;06.09.2020;3077;2111;69;43;26;0
Монако;14.11.2020;545;446;2;5;20;0
Беларусь;28.07.2020;67366;60669;543;115;177;5
Уганда;11.01.2021;37808;12942;302;66;90;1
Замбия;15.06.2021;115824;99895;1444;2690;901;28
Мадагаскар;06.06.2021;41690;40813;861;59;55;2
Австралия;26.05.2021;30063;23568;910;17;8;0
Зимбабве;22.11.2020;9220;8250;268;48;15;3
Ливан;09.02.2021;324866;215359;3737;2886;3480;60
Сирия;13.10.2020;4826;1364;231;52;33;3
Мальдивы;23.06.2021;72466;67886;207;172;379;0
Грузия;16.11.2020;82835;65291;733;3157;3230;30
Мьянма;01.10.2020;14383;4156;321;1010;401;11
Ботсвана;06.12.2020;11531;8978;34;0;0;0
Йемен;08.12.2020;2079;1382;606;1;0;0
Афганистан;01.05.2021;59939;53272;2631;194;66;6
Бурунди;25.01.2021;1479;773;2;7;0;0
Индия;06.06.2021;28909975;27159180;349186;100636;174399;2427
Того;14.04.2021;12214;9543;117;180;240;1
Сан-Марино;22.11.2020;1427;1082;43;32;0;0
Пакистан;01.08.2020;278305;247177;5951;0;0;0
Лихтенштейн;16.10.2020;202;132;1;17;1;0
Нигер;28.04.2021;5224;4847;191;4;4;0
Гайана;22.12.2020;6216;5385;160;45;16;1
Ливия;28.11.2020;81273;52299;1153;0;0;0
Новая Зеландия;26.04.2021;2609;2547;26;8;5;0
Суринам;06.01.2021;6666;6021;126;80;54;1
Гаити;27.02.2021;12430;9712;250;78;33;3
Непал;06.12.2020;240981;225805;1594;1096;1752;17
Люксембург;15.02.2021;52923;49775;611;384;474;5
Саудовская Аравия;30.10.2020;346880;333409;5383;398;404;20
Ангола;25.05.2021;32933;27204;735;310;117;4
Мозамбик;17.02.2021;52629;32857;561;829;595;10
Никарагуа;16.11.2020;5661;4225;158;0;0;0
Украина;30.05.2021;2259743;2090254;52504;1839;5777;90
Сальвадор;26.01.2021;53738;47073;1583;259;0;11
Бангладеш;09.07.2020;175494;84544;2238;3360;3706;41
Германия;15.03.2021;2585385;2377584;73701;6543;8589;238
Эсватини;12.05.2021;18492;17784;671;5;0;0
Аргентина;06.11.2020;1228814;1042237;33136;11786;12100;370
Филиппины;26.09.2020;301256;232906;5284;1895;507;88
ЦАР;15.10.2020;4855;1924;62;0;0;0
Лесото;17.07.2020;311;69;6;55;21;3
Сербия;04.01.2021;346585;0;3364;2715;0;39
Summer Olympics 2020;28.07.2020;0;0;0;0;0;0
Самоа;19.12.2020;2;2;0;0;0;0
Восточный Тимор;02.10.2020;28;28;0;0;0;0
Ирландия;19.01.2021;176839;23364;2708;1996;0;92
Сенегал;26.09.2020;14869;12028;306;30;118;2
Португалия;17.06.2021;861628;817754;17057;1233;662;2
Узбекистан;10.10.2020;60776;57704;502;434;483;4
Тунис;02.01.2021;141979;106050;4765;1422;551;35
Сент-Винсент и Гренадины;08.09.2020;62;58;0;0;0;0
Экваториальная Гвинея;13.12.2020;5185;5058;85;0;0;0
Гватемала;20.11.2020;117757;106725;4067;691;420;17
Андорра;20.10.2020;3623;2273;62;0;0;0
Босния и Герцеговина;09.07.2020;6086;2815;214;217;46;5
Молдавия;11.11.2020;84707;66115;1950;1115;1289;20
Вануату;26.03.2021;3;1;0;0;0;0
Либерия;24.03.2021;2047;1899;85;5;0;0
Боливия;09.07.2020;44113;13354;1638;1129;471;61
Бенин;11.11.2020;2844;2515;43;63;0;0
Сингапур;05.09.2020;56982;56267;27;34;93;0
Иран;02.09.2020;378752;326801;21797;1858;1677;125
Бразилия;24.09.2020;4657702;4102954;139808;66338;56127;1703
Судно "MS Zaandam";05.01.2021;9;7;2;0;0;0
Папуа — Новая Гвинея;01.10.2020;539;519;7;5;3;0
Гамбия;01.10.2020;3584;2216;113;5;55;1
Хорватия;02.03.2021;243458;235017;5548;394;382;11
Северная Македония;10.07.2020;7777;3960;368;205;336;6
Китай;21.09.2020;90890;85736;4744;14;18;0
Таджикистан;10.08.2020;7785;6614;62;40;130;0
Австрия;24.11.2020;254710;182620;2577;4377;7093;118
Армения;17.11.2020;118870;78343;1811;984;2478;23
Белиз;27.07.2020;48;26;2;0;0;0
Руанда;13.03.2021;20143;18500;276;86;139;1
Кения;24.12.2020;95431;76720;1652;236;212;4
Доминиканская Республика;03.08.2020;73117;38824;1183;874;580;5
Нидерланды;06.12.2020;566628;7300;9768;6912;34;25
Судно "Diamond Princess";21.04.2021;712;699;13;0;0;0
Западный берег реки Иордан;21.03.2021;223638;198431;2427;2247;1753;21
Болгария;24.05.2021;416727;373703;17513;81;318;17
Венгрия;25.08.2020;5215;3716;614;24;21;1
Палау;18.06.2021;0;0;0;0;0;0
Намибия;12.09.2020;9604;5811;98;167;913;0
Перу;06.11.2020;914722;838265;87128;0;0;95
Эстония;28.12.2020;25808;15921;213;416;99;9
Шри-Ланка;23.03.2021;90765;87306;552;251;248;1
Индонезия;07.05.2021;1703632;1558423;46663;6327;5891;167
Южный Судан;17.10.2020;2817;1290;55;0;0;0
Кирибати;03.12.2020;0;0;0;0;0;0
ДР Конго;26.10.2020;11174;10468;305;31;1;0
Южная Корея;14.10.2020;24988;23082;439;99;52;1
Республика Конго;05.08.2020;3546;1589;58;0;0;0
Гана;25.01.2021;62135;58150;372;1341;1009;5
Бруней;28.05.2021;241;228;3;0;0;0
Буркина-Фасо;23.01.2021;9967;7988;109;110;105;2
Тринидад и Тобаго;21.07.2020;139;124;8;2;0;0
Словения;20.07.2020;1953;1603;113;7;35;1
Габон;02.02.2021;10952;10419;68;0;0;0
Италия;03.01.2021;2155446;1503900;75332;14245;14746;347
Оман;15.11.2020;120389;111096;1338;947;1046;12
Панама;06.08.2020;71418;45658;1574;1187;866;21
Мавритания;09.05.2021;18667;17899;456;31;34;0
Кабо-Верде;19.08.2020;3321;2442;36;68;52;0
Уругвай;27.06.2021;365866;342494;5494;1007;2142;20
Турция;05.01.2021;2270101;2155338;21879;14494;8908;194
Малайзия;28.10.2020;29441;19071;251;801;573;10
Чад;09.01.2021;2510;1962;107;91;24;1
США;25.03.2021;30146818;"";546344;67886;"";1358
Вьетнам;05.09.2020;1049;805;35;0;33;0
Кот-д’Ивуар;23.12.2020;21984;21573;133;42;37;0
Норвегия;16.06.2021;128679;17998;790;180;0;1
Чили;29.06.2020;275999;236154;5575;4017;3944;66
Соломоновы острова;05.05.2021;20;20;0;0;0;0
Азербайджан;14.08.2020;34018;31490;504;103;221;4
Marshall Islands;14.11.2020;1;1;0;0;0;0
Папский Престол;22.06.2021;27;27;0;0;0;0
Исландия;18.04.2021;6286;6184;29;0;0;0
Мальта;16.09.2020;2560;1953;16;106;22;0
Швеция;07.07.2020;71210;0;5447;278;0;27
Сан-Томе и Принсипи;30.06.2020;714;236;13;1;1;0
Румыния;14.10.2020;164477;122714;5601;4016;2199;66
Багамские острова;01.12.2020;7543;5934;163;2;45;0
Эритрея;23.09.2020;364;309;0;0;0;0
Марокко;10.05.2021;513922;501146;9077;58;232;5
Сент-Люсия;22.04.2021;4455;4290;70;11;18;0
Коста-Рика;04.02.2021;195992;155581;2662;455;536;12
Косово и Метохия;12.03.2021;76070;63894;1688;1362;909;14
Латвия;10.03.2021;91636;81858;1726;639;966;21
Япония;17.10.2020;92655;84461;1671;623;579;6
Финляндия;01.02.2021;45482;31000;677;244;0;6
Киргизия;12.06.2021;109812;102314;1881;619;296;5
Колумбия;17.04.2021;2636076;2457888;67931;16654;15435;367
Ирак;01.07.2020;51524;26267;2050;2415;1507;107
Польша;05.07.2020;35950;23746;1517;231;619;5
Израиль;31.07.2020;71734;47225;564;1362;1360;14
Молдавия;05.11.2020;79566;59220;1866;1059;928;15
Боливия;03.07.2020;36818;10766;1320;1290;408;49
Узбекистан;27.10.2020;65881;63044;556;214;168;4
Либерия;14.03.2021;2030;1899;85;0;0;0
Вануату;04.03.2021;1;1;0;0;0;0
Экваториальная Гвинея;07.12.2020;5166;5036;85;7;13;0
Сент-Винсент и Гренадины;02.09.2020;61;57;0;0;0;0
Тунис;28.01.2021;204351;152436;6508;2028;1222;62
Малави;16.05.2021;34214;32210;1153;4;4;0
Андорра;24.09.2020;1753;1203;53;0;0;0
Босния и Герцеговина;03.07.2020;4962;2550;191;174;35;2
Гватемала;25.10.2020;104787;94217;3644;155;337;35
Иран;08.09.2020;391112;337414;22542;2302;1842;132
Ямайка;06.03.2021;25303;14159;446;527;147;3
Сингапур;11.09.2020;57315;56607;27;86;49;0
Бенин;05.11.2020;2745;2466;43;0;11;0
Аргентина;16.11.2020;1318384;1140196;35727;7893;11094;291
Эсватини;03.06.2021;18623;17886;673;5;4;0
Никарагуа;06.11.2020;5591;4225;157;0;0;0
Мозамбик;07.02.2021;44600;27162;460;488;372;9
Украина;08.05.2021;2169650;1801896;48095;8841;19575;378
Сальвадор;04.01.2021;47087;42004;1364;284;217;6
Германия;25.03.2021;2744608;2471558;75669;21620;11539;185
Бангладеш;03.07.2020;156391;68048;1968;3114;1606;42
Лесото;13.02.2021;9852;2940;225;0;0;0
Восточный Тимор;12.10.2020;29;28;0;1;0;0
Самоа;09.12.2020;2;2;0;0;0;0
Антигуа и Барбуда;08.07.2020;70;23;3;0;0;0
Сербия;10.08.2020;28262;0;646;163;0;5
Тонга;19.06.2021;0;0;0;0;0;0
Сенегал;18.10.2020;15418;13814;317;26;58;0
Ирландия;09.01.2021;140727;23364;2336;4843;0;9
Бахрейн;19.06.2021;262427;252848;1297;439;1063;11
Филиппины;18.10.2020;356618;310158;6652;2280;14846;49
Summer Olympics 2020;17.01.2021;0;0;0;0;0;0
ЦАР;05.10.2020;4845;1914;62;0;0;0
Катар;14.07.2020;104533;101160;150;517;533;1
Мьянма;21.11.2020;77848;57679;1722;1434;1078;27
Бурунди;03.01.2021;833;687;2;11;0;0
Йемен;18.12.2020;2087;1384;606;0;0;0
Ботсвана;12.12.2020;12501;9940;37;0;0;0
Ливия;20.12.2020;94560;64810;1353;788;924;7
Новая Зеландия;16.04.2021;2591;2464;26;0;0;0
Суринам;16.01.2021;7469;6689;141;60;68;2
Нигер;06.04.2021;5048;4715;188;7;17;0
Лихтенштейн;06.10.2020;132;116;1;3;0;0
Гаити;05.02.2021;11692;9137;245;0;23;0
Саудовская Аравия;25.11.2020;356067;344787;5825;326;476;14
Непал;12.12.2020;247593;234231;1689;899;1359;15
Того;20.04.2021;12610;10350;121;57;120;1
Греция;29.05.2021;400395;93764;12024;1497;0;29
Пакистан;07.08.2020;282645;258099;6052;782;2041;17
Гайана;31.08.2020;1306;718;39;72;31;3
Сан-Марино;31.10.2020;958;721;42;29;0;0
Сомали;08.05.2021;14415;6191;747;47;39;2
Австралия;20.05.2021;29999;23525;910;4;7;0
Монако;30.09.2020;218;181;2;4;3;0
Литва;12.09.2020;3291;2284;70;53;24;0
Канада;31.03.2021;989493;918581;22960;9128;5897;33
